Symbol,Name,Aliases
AAPL,Apple Inc,apple
ACN,Accenture Plc,accenture
ADBE,Adobe Systems Inc,"adobe,adobe systems"
ADI,Analog Devices,analog devices
ADP,Automatic Data Procs,"automatic data processing,automatic data procs"
ADSK,Autodesk Inc,autodesk
AKAM,Akamai Technologies,akamai
AMAT,Applied Materials,applied materials
AMD,Adv Micro Devices,advanced micro devices
ANET,Arista Networks Inc,"arista networks, arista"
ANSS,Ansys Inc,ansys
APH,Amphenol Corp,amphenol
AVGO,Broadcom Ltd,broadcom
BR,Broadridge Financial Solutions Llc,"broadridge financial solutions, broadridge"
CDAY,Ceridian Hcm Holding Inc,"ceridian hcm holding,ceridian"
CDNS,Cadence Design Sys,"cadence design systems, cadence design, cadence"
CDW,CDW Corp,"cdw corporation, cdw corp, cdw"
CRM,Salesforce.com Inc,salesforce
CSCO,Cisco Systems Inc,"cisco systems,cisco"
CTSH,Cognizant Tech Sol,"cognizant tech solutions, cognizant tech, cognizant"
CTXS,Citrix Systems Inc,"citrix systems, citrix"
DXC,Dxc Technology Company,"dxc technology, dxc"
ENPH,Enphase Energy Inc,"emphase energy,emphase"
FFIV,F5 Inc,f5
FIS,Fidelity National Information Services,"fidelity national, fidelity"
FISV,Fiserv Inc,fiserv
FLT,Fleetcor Technologies,fleetcor
FTNT,Fortinet Inc,fortinet
GLW,Corning Inc,corning
GPN,Global Payments Inc,global payments
HPE,Hewlett Packard Enterprise Comp,hewlett packard
HPQ,HP Inc,hewlett packard
IBM,International Business Machines,international business machines
INTC,Intel Corp,intel
INTU,Intuit Inc,intuit
IPGP,Ipg Photonics Corp,"ipg photonics, ipg"
IT,Gartner Inc,gartner
JKHY,Jack Henry & Assoc,jack henry
JNPR,Juniper Networks,juniper
KEYS,Keysight Technologies Inc Comm,"keysight technologies, keysight"
KLAC,K L A-Tencor Corp,"kla corp, kla"
LRCX,Lam Research Corp,"lam research corporation, lam research"
MA,Mastercard Inc,mastercard
MCHP,Microchip Technology,"microchip technology, microchip"
MPWR,Monolithic Power Sys,monolithic power
MSFT,Microsoft Corp,microsoft
MSI,Motorola Solutions,motorola
MU,Micron Technology,"micron, micron technology"
NLOK,Nortonlifelock Inc,"norton, symantec, nortonlifelock"
NOW,Servicenow Inc,servicenow
NTAP,Netapp Inc,netapp
NVDA,Nvidia Corp,nvidia
NXPI,Nxp Semiconductors,nxp
ORCL,Oracle Corp,oracle
PAYC,Paycom Software Inc,"paycom, paycom software"
PAYX,Paychex Inc,paychex
PTC,Ptc Inc,ptc
PYPL,Paypal Holdings,paypal
QCOM,Qualcomm Inc,qualcomm
QRVO,Qorvo Inc,qorvo
SNPS,Synopsys Inc,synopsys
STX,Seagate Technology Hldgs Plc,"seagate, seagate technology holdings, seagate technology"
SWKS,Skyworks Solutions,skyworks
TDY,Teledyne Technologies Inc,teledyne
TEL,Te Connectivity Ltd,te connectivity
TER,Teradyne Inc,teradyne
TRMB,Trimble Navigation,"trimble, trimble navigation"
TXN,Texas Instruments,texas instruments
TYL,Tyler Technologies,tyler technologies
V,Visa Inc,visa
VRSN,Verisign Inc,verisign
WDC,Western Digital Cp,western digital
WU,Western Union Company,western union
XLNX,Xilinx Inc,xilinx
ZBRA,Zebra Technologies,zebra
GME,GameStop Corp,"gamestop, gamestop corporation"
AMC,AMC Entertainment Holdings Inc,"amc entertainment holdings, amc entertainment"
